unit_type,unit_id,baseline_mse,mse_without_unit,delta_mse,baseline_mae,mae_without_unit,delta_mae,delta_mse_ratio_pct,delta_mae_ratio_pct
query,0,0.4820871511796881,0.501051083413613,0.01896393223392495,0.5037946105003357,0.5141358375549316,0.010341227054595947,3.9337145135520393,2.0526672654012157
query,1,0.4820871511796881,0.5065333214491674,0.024446170269479317,0.5037946105003357,0.5201919078826904,0.016397297382354736,5.070902680077344,3.2547583957021726
query,2,0.4820871511796881,0.48118583422678995,-0.0009013169528981346,0.5037946105003357,0.5060176849365234,0.002223074436187744,-0.18696141365572036,0.4412660218774339
query,3,0.4820871511796881,0.5121923504401574,0.03010519926046934,0.5037946105003357,0.5229426622390747,0.019148051738739014,6.244762837341882,3.8007654984086527
query,4,0.4820871511796881,0.49527015514654593,0.013183003966857842,0.5037946105003357,0.5079174041748047,0.004122793674468994,2.7345686220009107,0.8183481102297833
query,5,0.4820871511796881,0.501601763912767,0.019514612733078918,0.5037946105003357,0.5192432999610901,0.015448689460754395,4.047942925947273,3.0664658054622245
query,6,0.4820871511796881,0.49684122665925057,0.014754075479562478,0.5037946105003357,0.509215772151947,0.005421161651611328,3.060458144022013,1.0760658289352056
query,7,0.4820871511796881,0.49920293358401946,0.01711578240433137,0.5037946105003357,0.5183585286140442,0.014563918113708496,3.550350255643261,2.8908443659698086
query,8,0.4820871511796881,0.49195044754421463,0.009863296364526541,0.5037946105003357,0.5065758228302002,0.002781212329864502,2.045957113851848,0.552052815154649
query,9,0.4820871511796881,0.48480031546420366,0.002713164284515568,0.5037946105003357,0.5049669742584229,0.0011723637580871582,0.5627953945414926,0.23270668912532502
query,10,0.4820871511796881,0.5037302807764974,0.021643129596809307,0.5037946105003357,0.5183374881744385,0.014542877674102783,4.489464102880078,2.8866679736132457
query,11,0.4820871511796881,0.4947280573893089,0.012640906209620828,0.5037946105003357,0.5075322389602661,0.00373762845993042,2.622120539551404,0.7418952847110558
query,12,0.4820871511796881,0.4926463780412773,0.010559226861589222,0.5037946105003357,0.5066049098968506,0.0028102993965148926,2.1903149328394953,0.5578264113869515
query,13,0.4820871511796881,0.4919755292269154,0.009888378047227309,0.5037946105003357,0.5067184567451477,0.0029238462448120117,2.0511598417485346,0.580364732744608
query,14,0.4820871511796881,0.5043078127895712,0.022220661609883063,0.5037946105003357,0.5187641978263855,0.014969587326049805,4.609262361692931,2.9713671035867164
query,15,0.4820871511796881,0.5024138836332062,0.02032673245351807,0.5037946105003357,0.5166897773742676,0.012895166873931885,4.216402035146069,2.5596079444210913
