group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,3,0.4820871511796881,0.5121923504401574,0.03010519926046934,6.244762837341882,0.5037946105003357,0.5229426622390747,0.019148051738739014,3.8007654984086527
random,1,random1_rep1,3,0.4820871511796881,0.5121923504401574,0.03010519926046934,6.244762837341882,0.5037946105003357,0.5229426622390747,0.019148051738739014,3.8007654984086527
random,1,random1_rep2,0,0.4820871511796881,0.501051083413613,0.01896393223392495,3.9337145135520393,0.5037946105003357,0.5141358375549316,0.010341227054595947,2.0526672654012157
random,1,random1_rep3,8,0.4820871511796881,0.49195044754421463,0.009863296364526541,2.045957113851848,0.5037946105003357,0.5065758228302002,0.002781212329864502,0.552052815154649
random,1,random1_rep4,7,0.4820871511796881,0.49920293358401946,0.01711578240433137,3.550350255643261,0.5037946105003357,0.5183585286140442,0.014563918113708496,2.8908443659698086
random,1,random1_rep5,7,0.4820871511796881,0.49920293358401946,0.01711578240433137,3.550350255643261,0.5037946105003357,0.5183585286140442,0.014563918113708496,2.8908443659698086
random,1,random1_rep6,4,0.4820871511796881,0.49527015514654593,0.013183003966857842,2.7345686220009107,0.5037946105003357,0.5079174041748047,0.004122793674468994,0.8183481102297833
random,1,random1_rep7,3,0.4820871511796881,0.5121923504401574,0.03010519926046934,6.244762837341882,0.5037946105003357,0.5229426622390747,0.019148051738739014,3.8007654984086527
random,1,random1_rep8,2,0.4820871511796881,0.48118583422678995,-0.0009013169528981346,-0.18696141365572036,0.5037946105003357,0.5060176849365234,0.002223074436187744,0.4412660218774339
random,1,random1_rep9,13,0.4820871511796881,0.4919755292269154,0.009888378047227309,2.0511598417485346,0.5037946105003357,0.5067184567451477,0.0029238462448120117,0.580364732744608
random,1,random1_rep10,1,0.4820871511796881,0.5065333214491674,0.024446170269479317,5.070902680077344,0.5037946105003357,0.5201919078826904,0.016397297382354736,3.2547583957021726
random,1,random1_rep11,0,0.4820871511796881,0.501051083413613,0.01896393223392495,3.9337145135520393,0.5037946105003357,0.5141358375549316,0.010341227054595947,2.0526672654012157
random,1,random1_rep12,2,0.4820871511796881,0.48118583422678995,-0.0009013169528981346,-0.18696141365572036,0.5037946105003357,0.5060176849365234,0.002223074436187744,0.4412660218774339
random,1,random1_rep13,6,0.4820871511796881,0.49684122665925057,0.014754075479562478,3.060458144022013,0.5037946105003357,0.509215772151947,0.005421161651611328,1.0760658289352056
random,1,random1_rep14,7,0.4820871511796881,0.49920293358401946,0.01711578240433137,3.550350255643261,0.5037946105003357,0.5183585286140442,0.014563918113708496,2.8908443659698086
random,1,random1_rep15,0,0.4820871511796881,0.501051083413613,0.01896393223392495,3.9337145135520393,0.5037946105003357,0.5141358375549316,0.010341227054595947,2.0526672654012157
random,1,random1_rep16,6,0.4820871511796881,0.49684122665925057,0.014754075479562478,3.060458144022013,0.5037946105003357,0.509215772151947,0.005421161651611328,1.0760658289352056
random_mean,1,random1_mean,,0.4820871511796881,0.49793314543825856,0.015845994258570473,3.286956356292558,0.5037946105003357,0.5134524330496788,0.009657822549343109,1.9170158528991794
topk,2,top2,3 1,0.4820871511796881,0.5444460687406069,0.06235891756091877,12.935195930512522,0.5037946105003357,0.5420979261398315,0.03830331563949585,7.60296256473556
random,2,random2_rep1,3 13,0.4820871511796881,0.5222919490231377,0.0402047978434496,8.339736444969903,0.5037946105003357,0.5260894894599915,0.02229487895965576,4.4253905252209735
random,2,random2_rep2,9 14,0.4820871511796881,0.5081264555763978,0.026039304396709706,5.401368680536373,0.5037946105003357,0.5206509232521057,0.01685631275177002,3.3458700034582423
random,2,random2_rep3,8 12,0.4820871511796881,0.5144974823017319,0.03241033112204378,6.722919505888987,0.5037946105003357,0.5176832675933838,0.013888657093048096,2.7568093829457196
random,2,random2_rep4,0 12,0.4820871511796881,0.517442488814887,0.03535533763519888,7.333806252392922,0.5037946105003357,0.5198471546173096,0.016052544116973877,3.1863270829816033
random,2,random2_rep5,5 11,0.4820871511796881,0.5148365833295411,0.032749432149852986,6.793259697901864,0.5037946105003357,0.5234478116035461,0.01965320110321045,3.901034408385628
random,2,random2_rep6,5 13,0.4820871511796881,0.5119076172453426,0.029820466065654527,6.185700239610734,0.5037946105003357,0.5225359201431274,0.018741309642791748,3.7200298002749794
random,2,random2_rep7,2 8,0.4820871511796881,0.5013038895284331,0.01921673834874499,3.9861544332224574,0.5037946105003357,0.5183806419372559,0.014586031436920166,2.8952337188431367
random,2,random2_rep8,6 12,0.4820871511796881,0.5175109501007523,0.03542379892106423,7.348007270963489,0.5037946105003357,0.5176712274551392,0.013876616954803467,2.7544194927020205
random,2,random2_rep9,1 10,0.4820871511796881,0.5320215417592685,0.049934390579580434,10.357959231518372,0.5037946105003357,0.5363674759864807,0.03257286548614502,6.465504951272859
random,2,random2_rep10,2 6,0.4820871511796881,0.503111055193955,0.02102390401426696,4.361017289678964,0.5037946105003357,0.5174375772476196,0.013642966747283936,2.7080414246064755
random,2,random2_rep11,3 5,0.4820871511796881,0.5357286370516374,0.053641485871949335,11.126927100356502,0.5037946105003357,0.5408588647842407,0.03706425428390503,7.357016830151329
random,2,random2_rep12,9 11,0.4820871511796881,0.5115783399887228,0.02949118880903473,6.117397805950339,0.5037946105003357,0.517479419708252,0.01368480920791626,2.7163468847603207
random,2,random2_rep13,8 12,0.4820871511796881,0.5144974823017319,0.03241033112204378,6.722919505888987,0.5037946105003357,0.5176832675933838,0.013888657093048096,2.7568093829457196
random,2,random2_rep14,1 11,0.4820871511796881,0.5199619520102857,0.03787480083059763,7.856421963936677,0.5037946105003357,0.5243862271308899,0.0205916166305542,4.087303873716307
random,2,random2_rep15,8 14,0.4820871511796881,0.5152464792923894,0.033159328112701336,6.878284980539106,0.5037946105003357,0.5222473740577698,0.018452763557434082,3.662755252404945
random,2,random2_rep16,3 14,0.4820871511796881,0.5398485686707442,0.057761417491056066,11.981530175552571,0.5037946105003357,0.5399612784385681,0.03616666793823242,7.17885169559755
random_mean,2,random2_mean,,0.4820871511796881,0.5174944670118099,0.03540731583212181,7.344588161181765,0.5037946105003357,0.5239204950630665,0.02012588456273079,3.9948590443917382
topk,4,top4,3 1 14 10,0.4820871511796881,0.6099068803269648,0.12781972914727674,26.513821999714438,0.5037946105003357,0.5791171789169312,0.07532256841659546,14.951046884322569
random,4,random4_rep1,1 4 8 12,0.4820871511796881,0.5770630851284736,0.09497593394878551,19.700988445009436,0.5037946105003357,0.5539437532424927,0.05014914274215698,9.95428329262041
