group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,13,0.4890933646616154,0.5383188774761922,0.04922551281457682,10.06464539723086,0.5113429427146912,0.5458739995956421,0.03453105688095093,6.753013290381495
random,1,random1_rep1,3,0.4890933646616154,0.48512460064254787,-0.003968764019067539,-0.8114532532686007,0.5113429427146912,0.5099412202835083,-0.0014017224311828613,-0.27412570196846664
random,1,random1_rep2,0,0.4890933646616154,0.5183904671022027,0.029297102440587308,5.990083807588931,0.5113429427146912,0.5307596921920776,0.019416749477386475,3.797206894907757
random,1,random1_rep3,8,0.4890933646616154,0.4832390954945985,-0.005854269167016923,-1.196963522714577,0.5113429427146912,0.5088925957679749,-0.0024503469467163086,-0.47919835046662684
random,1,random1_rep4,7,0.4890933646616154,0.5051057830143195,0.016012418352704116,3.2738980958742885,0.5113429427146912,0.5228775143623352,0.011534571647644043,2.2557408510240986
random,1,random1_rep5,7,0.4890933646616154,0.5051057830143195,0.016012418352704116,3.2738980958742885,0.5113429427146912,0.5228775143623352,0.011534571647644043,2.2557408510240986
random,1,random1_rep6,4,0.4890933646616154,0.49270239011244743,0.0036090254508320263,0.7379011271864157,0.5113429427146912,0.513173520565033,0.0018305778503417969,0.35799415566847587
random,1,random1_rep7,3,0.4890933646616154,0.48512460064254787,-0.003968764019067539,-0.8114532532686007,0.5113429427146912,0.5099412202835083,-0.0014017224311828613,-0.27412570196846664
random,1,random1_rep8,2,0.4890933646616154,0.5046641401619614,0.015570775500345968,3.1835998247734927,0.5113429427146912,0.5222625732421875,0.010919630527496338,2.135480832007699
random,1,random1_rep9,13,0.4890933646616154,0.5383188774761922,0.04922551281457682,10.06464539723086,0.5113429427146912,0.5458739995956421,0.03453105688095093,6.753013290381495
random,1,random1_rep10,1,0.4890933646616154,0.4828537882888565,-0.006239576372758904,-1.2757434108875763,0.5113429427146912,0.5085910558700562,-0.0027518868446350098,-0.5381685391071198
random,1,random1_rep11,0,0.4890933646616154,0.5183904671022027,0.029297102440587308,5.990083807588931,0.5113429427146912,0.5307596921920776,0.019416749477386475,3.797206894907757
random,1,random1_rep12,2,0.4890933646616154,0.5046641401619614,0.015570775500345968,3.1835998247734927,0.5113429427146912,0.5222625732421875,0.010919630527496338,2.135480832007699
random,1,random1_rep13,6,0.4890933646616154,0.4828536950275474,-0.0062396696340680236,-1.2757624790892446,0.5113429427146912,0.5085909962654114,-0.002751946449279785,-0.5381801955982525
random,1,random1_rep14,7,0.4890933646616154,0.5051057830143195,0.016012418352704116,3.2738980958742885,0.5113429427146912,0.5228775143623352,0.011534571647644043,2.2557408510240986
random,1,random1_rep15,0,0.4890933646616154,0.5183904671022027,0.029297102440587308,5.990083807588931,0.5113429427146912,0.5307596921920776,0.019416749477386475,3.797206894907757
random,1,random1_rep16,6,0.4890933646616154,0.4828536950275474,-0.0062396696340680236,-1.2757624790892446,0.5113429427146912,0.5085909962654114,-0.002751946449279785,-0.5381801955982525
random_mean,1,random1_mean,,0.4890933646616154,0.5008054858366109,0.011712121174995482,2.39465959287725,0.5113429427146912,0.5199395231902599,0.008596580475568771,1.6811771039471093
topk,2,top2,13 5,0.4890933646616154,0.6338059474428036,0.1447125827811882,29.587925994724788,0.5113429427146912,0.5957807898521423,0.08443784713745117,16.51295834634489
random,2,random2_rep1,3 13,0.4890933646616154,0.5359311116553894,0.04683774699377402,9.576442940741842,0.5113429427146912,0.5459322929382324,0.03458935022354126,6.764413338709307
random,2,random2_rep2,9 14,0.4890933646616154,0.5210647291179067,0.031971364456291285,6.5368632589017075,0.5113429427146912,0.534585177898407,0.02324223518371582,4.545332152297652
random,2,random2_rep3,8 12,0.4890933646616154,0.5225602972039449,0.03346693254232952,6.842647020060062,0.5113429427146912,0.5400694012641907,0.02872645854949951,5.617845901420355
random,2,random2_rep4,0 12,0.4890933646616154,0.5884690749314861,0.09937571026987074,20.318351760634684,0.5113429427146912,0.5764349699020386,0.06509202718734741,12.729622675885086
random,2,random2_rep5,5 11,0.4890933646616154,0.5305591053899387,0.041465740728323264,8.478082861952501,0.5113429427146912,0.5436020493507385,0.03225910663604736,6.308702817875136
random,2,random2_rep6,5 13,0.4890933646616154,0.6338059474428036,0.1447125827811882,29.587925994724788,0.5113429427146912,0.5957807898521423,0.08443784713745117,16.51295834634489
random,2,random2_rep7,2 8,0.4890933646616154,0.4991073088062278,0.010013944144612374,2.0474504191118257,0.5113429427146912,0.5200992822647095,0.00875633955001831,1.712420142836311
random,2,random2_rep8,6 12,0.4890933646616154,0.5238855468070535,0.034792182145438055,7.11360747441532,0.5113429427146912,0.5401840209960938,0.028841078281402588,5.640261333868599
random,2,random2_rep9,1 10,0.4890933646616154,0.49805522698040094,0.00896186231878554,1.8323418321133642,0.5113429427146912,0.5202152729034424,0.00887233018875122,1.735103674580608
random,2,random2_rep10,2 6,0.4890933646616154,0.498378461626881,0.009285096965265582,1.8984303685431467,0.5113429427146912,0.5195315480232239,0.008188605308532715,1.6013920647970354
random,2,random2_rep11,3 5,0.4890933646616154,0.5282513373649699,0.03915797270335447,8.006236750000962,0.5113429427146912,0.5407811999320984,0.029438257217407227,5.757047718527445
random,2,random2_rep12,9 11,0.4890933646616154,0.498866032301416,0.009772667639800614,1.9981190394112054,0.5113429427146912,0.5205473303794861,0.009204387664794922,1.8000419866810602
random,2,random2_rep13,8 12,0.4890933646616154,0.5225602972039449,0.03346693254232952,6.842647020060062,0.5113429427146912,0.5400694012641907,0.02872645854949951,5.617845901420355
random,2,random2_rep14,1 11,0.4890933646616154,0.49558964894770474,0.006496284286089338,1.3282298954482572,0.5113429427146912,0.5126705169677734,0.0013275742530822754,0.2596250269993476
random,2,random2_rep15,8 14,0.4890933646616154,0.49820283795201475,0.00910947329039935,1.862522362514944,0.5113429427146912,0.5200622081756592,0.008719265460968018,1.7051698053517514
random,2,random2_rep16,3 14,0.4890933646616154,0.499840113052595,0.01074674839097961,2.197279531366136,0.5113429427146912,0.5209124684333801,0.009569525718688965,1.8714496513601784
random_mean,2,random2_mean,,0.4890933646616154,0.5246954422990424,0.03560207763742701,7.279198658125059,0.5113429427146912,0.5369673706591129,0.025624427944421768,5.011202033684695
