mode,dataset,accuracy,f1_macro
classification_electricity_laya_metadata_query_gate_stats,JapaneseVowels,0.370,0.332
classification_electricity_laya_metadata_query_gate_stats,PEMS-SF,0.324,0.314
classification_electricity_laya_metadata_query_gate_stats,SelfRegulationSCP1,0.778,0.770
classification_electricity_laya_metadata_query_gate_stats,SelfRegulationSCP2,0.500,0.352
classification_electricity_laya_metadata_query_gate_stats,SpokenArabicDigits,0.274,0.263
classification_electricity_laya_metadata_query_gate_stats,UWaveGestureLibrary,0.316,0.289
classification_electricity_laya_metadata_query_gate_text,ECG200,0.770,0.734
classification_electricity_laya_metadata_query_gate_text,ECG5000,0.893,0.379
classification_electricity_laya_metadata_query_gate_text,EthanolConcentration,0.285,0.265
classification_electricity_laya_metadata_query_gate_text,FaceDetection,0.520,0.520
classification_electricity_laya_metadata_query_gate_text,FordA,0.780,0.779
classification_electricity_laya_metadata_query_gate_text,FordB,0.604,0.584
classification_electricity_laya_metadata_query_gate_text,Handwriting,0.038,0.007
classification_electricity_laya_metadata_query_gate_text,Heartbeat,0.756,0.612
classification_electricity_laya_metadata_query_gate_text,JapaneseVowels,0.395,0.405
classification_electricity_laya_metadata_query_gate_text,PEMS-SF,0.393,0.378
classification_electricity_laya_metadata_query_gate_text,SelfRegulationSCP1,0.768,0.758
classification_electricity_laya_metadata_query_gate_text,SelfRegulationSCP2,0.572,0.559
classification_electricity_laya_metadata_query_gate_text,SpokenArabicDigits,0.271,0.232
classification_electricity_laya_metadata_query_gate_text,UWaveGestureLibrary,0.409,0.409
classification_electricity_laya_metadata_query_gate_text_stats_avg,ECG200,0.730,0.645
classification_electricity_laya_metadata_query_gate_text_stats_avg,ECG5000,0.890,0.365
classification_electricity_laya_metadata_query_gate_text_stats_avg,EthanolConcentration,0.274,0.207
classification_electricity_laya_metadata_query_gate_text_stats_avg,FaceDetection,0.528,0.527
classification_electricity_laya_metadata_query_gate_text_stats_avg,FordA,0.733,0.729
classification_electricity_laya_metadata_query_gate_text_stats_avg,FordB,0.594,0.587
classification_electricity_laya_metadata_query_gate_text_stats_avg,Handwriting,0.075,0.036
classification_electricity_laya_metadata_query_gate_text_stats_avg,Heartbeat,0.732,0.592
classification_electricity_laya_metadata_query_gate_text_stats_avg,JapaneseVowels,0.532,0.535
classification_electricity_laya_metadata_query_gate_text_stats_avg,PEMS-SF,0.364,0.352
classification_electricity_laya_metadata_query_gate_text_stats_avg,SelfRegulationSCP1,0.785,0.777
classification_electricity_laya_metadata_query_gate_text_stats_avg,SelfRegulationSCP2,0.483,0.481
classification_electricity_laya_metadata_query_gate_text_stats_avg,SpokenArabicDigits,0.301,0.276
classification_electricity_laya_metadata_query_gate_text_stats_avg,UWaveGestureLibrary,0.441,0.438
classification_electricity_laya_metadata_query_gate_text_stats_joint,ECG200,0.800,0.774
classification_electricity_laya_metadata_query_gate_text_stats_joint,ECG5000,0.902,0.370
classification_electricity_laya_metadata_query_gate_text_stats_joint,EthanolConcentration,0.297,0.277
classification_electricity_laya_metadata_query_gate_text_stats_joint,FaceDetection,0.523,0.515
classification_electricity_laya_metadata_query_gate_text_stats_joint,FordA,0.786,0.786
classification_electricity_laya_metadata_query_gate_text_stats_joint,FordB,0.626,0.603
classification_electricity_laya_metadata_query_gate_text_stats_joint,Handwriting,0.040,0.007
classification_electricity_laya_metadata_query_gate_text_stats_joint,Heartbeat,0.761,0.592
classification_electricity_laya_metadata_query_gate_text_stats_joint,JapaneseVowels,0.381,0.384
classification_electricity_laya_metadata_query_gate_text_stats_joint,PEMS-SF,0.428,0.428
classification_electricity_laya_metadata_query_gate_text_stats_joint,SelfRegulationSCP1,0.785,0.778
classification_electricity_laya_metadata_query_gate_text_stats_joint,SelfRegulationSCP2,0.550,0.548
classification_electricity_laya_metadata_query_gate_text_stats_joint,SpokenArabicDigits,0.293,0.265
classification_electricity_laya_metadata_query_gate_text_stats_joint,UWaveGestureLibrary,0.422,0.412
classification_electricity_laya_mixer_concat_stats,ECG200,0.630,0.411
classification_electricity_laya_mixer_concat_stats,ECG5000,0.861,0.352
classification_electricity_laya_mixer_concat_stats,EthanolConcentration,0.274,0.179
classification_electricity_laya_mixer_concat_stats,FaceDetection,0.504,0.432
classification_electricity_laya_mixer_concat_stats,FordA,0.712,0.712
classification_electricity_laya_mixer_concat_stats,FordB,0.572,0.514
classification_electricity_laya_mixer_concat_stats,Handwriting,0.028,0.003
classification_electricity_laya_mixer_concat_stats,Heartbeat,0.722,0.419
classification_electricity_laya_mixer_concat_stats,JapaneseVowels,0.368,0.377
classification_electricity_laya_mixer_concat_stats,PEMS-SF,0.202,0.176
classification_electricity_laya_mixer_concat_stats,SelfRegulationSCP1,0.782,0.775
classification_electricity_laya_mixer_concat_stats,SelfRegulationSCP2,0.500,0.343
classification_electricity_laya_mixer_concat_stats,SpokenArabicDigits,0.246,0.215
classification_electricity_laya_mixer_concat_stats,UWaveGestureLibrary,0.125,0.029
classification_electricity_laya_mixer_concat_text,ECG200,0.640,0.390
classification_electricity_laya_mixer_concat_text,ECG5000,0.813,0.327
classification_electricity_laya_mixer_concat_text,EthanolConcentration,0.281,0.185
classification_electricity_laya_mixer_concat_text,FaceDetection,0.507,0.444
classification_electricity_laya_mixer_concat_text,FordA,0.645,0.644
classification_electricity_laya_mixer_concat_text,FordB,0.547,0.525
classification_electricity_laya_mixer_concat_text,Handwriting,0.038,0.003
classification_electricity_laya_mixer_concat_text,Heartbeat,0.722,0.419
classification_electricity_laya_mixer_concat_text,JapaneseVowels,0.443,0.421
classification_electricity_laya_mixer_concat_text,PEMS-SF,0.162,0.106
classification_electricity_laya_mixer_concat_text,SelfRegulationSCP1,0.747,0.736
classification_electricity_laya_mixer_concat_text,SelfRegulationSCP2,0.500,0.333
classification_electricity_laya_mixer_concat_text,SpokenArabicDigits,0.314,0.285
classification_electricity_laya_mixer_concat_text,UWaveGestureLibrary,0.128,0.034
classification_electricity_laya_mixer_concat_text_stats_avg,ECG200,0.640,0.390
classification_electricity_laya_mixer_concat_text_stats_avg,ECG5000,0.856,0.350
classification_electricity_laya_mixer_concat_text_stats_avg,EthanolConcentration,0.297,0.191
classification_electricity_laya_mixer_concat_text_stats_avg,FaceDetection,0.496,0.371
classification_electricity_laya_mixer_concat_text_stats_avg,FordA,0.673,0.672
classification_electricity_laya_mixer_concat_text_stats_avg,FordB,0.569,0.566
classification_electricity_laya_mixer_concat_text_stats_avg,Handwriting,0.039,0.008
classification_electricity_laya_mixer_concat_text_stats_avg,Heartbeat,0.722,0.544
classification_electricity_laya_mixer_concat_text_stats_avg,JapaneseVowels,0.265,0.242
classification_electricity_laya_mixer_concat_text_stats_avg,PEMS-SF,0.214,0.167
classification_electricity_laya_mixer_concat_text_stats_avg,SelfRegulationSCP1,0.724,0.706
classification_electricity_laya_mixer_concat_text_stats_avg,SelfRegulationSCP2,0.506,0.395
classification_electricity_laya_mixer_concat_text_stats_avg,SpokenArabicDigits,0.236,0.197
classification_electricity_laya_mixer_concat_text_stats_avg,UWaveGestureLibrary,0.306,0.245
classification_electricity_laya_mixer_concat_text_stats_joint,ECG200,0.640,0.390
classification_electricity_laya_mixer_concat_text_stats_joint,ECG5000,0.850,0.347
classification_electricity_laya_mixer_concat_text_stats_joint,EthanolConcentration,0.270,0.177
classification_electricity_laya_mixer_concat_text_stats_joint,FaceDetection,0.529,0.508
classification_electricity_laya_mixer_concat_text_stats_joint,FordA,0.642,0.640
classification_electricity_laya_mixer_concat_text_stats_joint,FordB,0.567,0.513
classification_electricity_laya_mixer_concat_text_stats_joint,Handwriting,0.061,0.010
classification_electricity_laya_mixer_concat_text_stats_joint,Heartbeat,0.737,0.524
classification_electricity_laya_mixer_concat_text_stats_joint,JapaneseVowels,0.346,0.312
classification_electricity_laya_mixer_concat_text_stats_joint,PEMS-SF,0.341,0.296
classification_electricity_laya_mixer_concat_text_stats_joint,SelfRegulationSCP1,0.775,0.767
classification_electricity_laya_mixer_concat_text_stats_joint,SelfRegulationSCP2,0.506,0.364
classification_electricity_laya_mixer_concat_text_stats_joint,SpokenArabicDigits,0.386,0.366
classification_electricity_laya_mixer_concat_text_stats_joint,UWaveGestureLibrary,0.237,0.130
classification_electricity_laya_mixer_stats,ECG200,0.790,0.752
classification_electricity_laya_mixer_stats,ECG5000,0.849,0.347
classification_electricity_laya_mixer_stats,EthanolConcentration,0.281,0.173
classification_electricity_laya_mixer_stats,FaceDetection,0.510,0.455
classification_electricity_laya_mixer_stats,FordA,0.684,0.684
classification_electricity_laya_mixer_stats,FordB,0.574,0.556
classification_electricity_laya_mixer_stats,Handwriting,0.045,0.007
classification_electricity_laya_mixer_stats,Heartbeat,0.741,0.515
classification_electricity_laya_mixer_stats,JapaneseVowels,0.435,0.430
classification_electricity_laya_mixer_stats,PEMS-SF,0.243,0.220
classification_electricity_laya_mixer_stats,SelfRegulationSCP1,0.720,0.701
classification_electricity_laya_mixer_stats,SelfRegulationSCP2,0.506,0.346
classification_electricity_laya_mixer_stats,SpokenArabicDigits,0.284,0.268
classification_electricity_laya_mixer_stats,UWaveGestureLibrary,0.269,0.217
classification_electricity_laya_mixer_text,ECG200,0.640,0.390
classification_electricity_laya_mixer_text,ECG5000,0.821,0.335
classification_electricity_laya_mixer_text,EthanolConcentration,0.270,0.176
classification_electricity_laya_mixer_text,FaceDetection,0.507,0.425
classification_electricity_laya_mixer_text,FordA,0.589,0.580
classification_electricity_laya_mixer_text,FordB,0.537,0.520
classification_electricity_laya_mixer_text,Handwriting,0.060,0.009
classification_electricity_laya_mixer_text,Heartbeat,0.722,0.419
classification_electricity_laya_mixer_text,JapaneseVowels,0.359,0.307
classification_electricity_laya_mixer_text,PEMS-SF,0.145,0.094
classification_electricity_laya_mixer_text,SelfRegulationSCP1,0.717,0.696
classification_electricity_laya_mixer_text,SelfRegulationSCP2,0.500,0.333
classification_electricity_laya_mixer_text,SpokenArabicDigits,0.329,0.312
classification_electricity_laya_mixer_text,UWaveGestureLibrary,0.166,0.076
classification_electricity_laya_mixer_text_stats_avg,ECG200,0.670,0.554
classification_electricity_laya_mixer_text_stats_avg,ECG5000,0.892,0.366
classification_electricity_laya_mixer_text_stats_avg,EthanolConcentration,0.270,0.180
classification_electricity_laya_mixer_text_stats_avg,FaceDetection,0.514,0.474
classification_electricity_laya_mixer_text_stats_avg,FordA,0.597,0.579
classification_electricity_laya_mixer_text_stats_avg,FordB,0.510,0.509
classification_electricity_laya_mixer_text_stats_avg,Handwriting,0.051,0.004
classification_electricity_laya_mixer_text_stats_avg,Heartbeat,0.722,0.419
classification_electricity_laya_mixer_text_stats_avg,JapaneseVowels,0.381,0.342
classification_electricity_laya_mixer_text_stats_avg,PEMS-SF,0.243,0.186
classification_electricity_laya_mixer_text_stats_avg,SelfRegulationSCP1,0.744,0.731
classification_electricity_laya_mixer_text_stats_avg,SelfRegulationSCP2,0.500,0.343
classification_electricity_laya_mixer_text_stats_avg,SpokenArabicDigits,0.427,0.420
classification_electricity_laya_mixer_text_stats_avg,UWaveGestureLibrary,0.203,0.127
classification_electricity_laya_mixer_text_stats_joint,ECG200,0.640,0.390
classification_electricity_laya_mixer_text_stats_joint,ECG5000,0.876,0.362
classification_electricity_laya_mixer_text_stats_joint,EthanolConcentration,0.270,0.179
classification_electricity_laya_mixer_text_stats_joint,FaceDetection,0.503,0.481
classification_electricity_laya_mixer_text_stats_joint,FordA,0.670,0.660
classification_electricity_laya_mixer_text_stats_joint,FordB,0.562,0.542
classification_electricity_laya_mixer_text_stats_joint,Handwriting,0.039,0.007
classification_electricity_laya_mixer_text_stats_joint,Heartbeat,0.722,0.419
classification_electricity_laya_mixer_text_stats_joint,JapaneseVowels,0.341,0.280
classification_electricity_laya_mixer_text_stats_joint,PEMS-SF,0.249,0.183
classification_electricity_laya_mixer_text_stats_joint,SelfRegulationSCP1,0.717,0.696
classification_electricity_laya_mixer_text_stats_joint,SelfRegulationSCP2,0.500,0.343
classification_electricity_laya_mixer_text_stats_joint,SpokenArabicDigits,0.343,0.335
classification_electricity_laya_mixer_text_stats_joint,UWaveGestureLibrary,0.131,0.038
classification_electricity_laya_relation_text,EthanolConcentration,0.312,0.285
