group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,6,0.45245688592726857,0.47700172170618116,0.024544835778912588,5.424789972775023,0.49142220616340637,0.5080863237380981,0.016664117574691772,3.390998079795903
random,1,random1_rep1,3,0.45245688592726857,0.46212229444096875,0.00966540851370018,2.1362054185321586,0.49142220616340637,0.5007888078689575,0.009366601705551147,1.906019220962227
random,1,random1_rep2,0,0.45245688592726857,0.464445185406654,0.011988299479385456,2.649600404426721,0.49142220616340637,0.49989840388298035,0.008476197719573975,1.72483001648393
random,1,random1_rep3,8,0.45245688592726857,0.47313316548393725,0.020676279556668675,4.569778955688684,0.49142220616340637,0.5071340203285217,0.015711814165115356,3.197212899225581
random,1,random1_rep4,7,0.45245688592726857,0.47398802068506046,0.021531134757791892,4.758715233975458,0.49142220616340637,0.5073353052139282,0.01591309905052185,3.23817256341698
random,1,random1_rep5,7,0.45245688592726857,0.47398802068506046,0.021531134757791892,4.758715233975458,0.49142220616340637,0.5073353052139282,0.01591309905052185,3.23817256341698
random,1,random1_rep6,4,0.45245688592726857,0.4670165177890665,0.014559631861797928,3.2179048025668364,0.49142220616340637,0.49783650040626526,0.006414294242858887,1.3052511999683676
random,1,random1_rep7,3,0.45245688592726857,0.46212229444096875,0.00966540851370018,2.1362054185321586,0.49142220616340637,0.5007888078689575,0.009366601705551147,1.906019220962227
random,1,random1_rep8,2,0.45245688592726857,0.4634313629316403,0.010974477004371708,2.4255298893021666,0.49142220616340637,0.5017692446708679,0.010347038507461548,2.10552929389214
random,1,random1_rep9,13,0.45245688592726857,0.4661465076252164,0.013689621697947851,3.025619042108783,0.49142220616340637,0.5014855265617371,0.010063320398330688,2.047795209926769
random,1,random1_rep10,1,0.45245688592726857,0.473935271796123,0.02147838586885442,4.747056910148788,0.49142220616340637,0.507880687713623,0.016458481550216675,3.3491529979302452
random,1,random1_rep11,0,0.45245688592726857,0.464445185406654,0.011988299479385456,2.649600404426721,0.49142220616340637,0.49989840388298035,0.008476197719573975,1.72483001648393
random,1,random1_rep12,2,0.45245688592726857,0.4634313629316403,0.010974477004371708,2.4255298893021666,0.49142220616340637,0.5017692446708679,0.010347038507461548,2.10552929389214
random,1,random1_rep13,6,0.45245688592726857,0.47700172170618116,0.024544835778912588,5.424789972775023,0.49142220616340637,0.5080863237380981,0.016664117574691772,3.390998079795903
