unit_type,unit_id,baseline_mse,mse_without_unit,delta_mse,baseline_mae,mae_without_unit,delta_mae,delta_mse_ratio_pct,delta_mae_ratio_pct
query,0,0.45245688592726857,0.464445185406654,0.011988299479385456,0.49142220616340637,0.49989840388298035,0.008476197719573975,2.649600404426721,1.72483001648393
query,1,0.45245688592726857,0.473935271796123,0.02147838586885442,0.49142220616340637,0.507880687713623,0.016458481550216675,4.747056910148788,3.3491529979302452
query,2,0.45245688592726857,0.4634313629316403,0.010974477004371708,0.49142220616340637,0.5017692446708679,0.010347038507461548,2.4255298893021666,2.10552929389214
query,3,0.45245688592726857,0.46212229444096875,0.00966540851370018,0.49142220616340637,0.5007888078689575,0.009366601705551147,2.1362054185321586,1.906019220962227
query,4,0.45245688592726857,0.4670165177890665,0.014559631861797928,0.49142220616340637,0.49783650040626526,0.006414294242858887,3.2179048025668364,1.3052511999683676
query,5,0.45245688592726857,0.4670343114790135,0.014577425551744905,0.49142220616340637,0.5008316040039062,0.009409397840499878,3.221837484442262,1.9147278495939783
query,6,0.45245688592726857,0.47700172170618116,0.024544835778912588,0.49142220616340637,0.5080863237380981,0.016664117574691772,5.424789972775023,3.390998079795903
query,7,0.45245688592726857,0.47398802068506046,0.021531134757791892,0.49142220616340637,0.5073353052139282,0.01591309905052185,4.758715233975458,3.23817256341698
query,8,0.45245688592726857,0.47313316548393725,0.020676279556668675,0.49142220616340637,0.5071340203285217,0.015711814165115356,4.569778955688684,3.197212899225581
query,9,0.45245688592726857,0.46724600208961936,0.01478911616235079,0.49142220616340637,0.49813833832740784,0.006716132164001465,3.2686243976687113,1.366672502741611
query,10,0.45245688592726857,0.47139731429809784,0.018940428370829265,0.49142220616340637,0.5020349025726318,0.010612696409225464,4.186128879884899,2.1595882880588753
query,11,0.45245688592726857,0.4734188498924841,0.020961963965215547,0.49142220616340637,0.5058056712150574,0.014383465051651001,4.632919647638015,2.92690579938267
query,12,0.45245688592726857,0.4642662838204628,0.01180939789319424,0.49142220616340637,0.49724581837654114,0.005823612213134766,2.6100603749221256,1.185052718435421
query,13,0.45245688592726857,0.4661465076252164,0.013689621697947851,0.49142220616340637,0.5014855265617371,0.010063320398330688,3.025619042108783,2.047795209926769
query,14,0.45245688592726857,0.46508412942393546,0.012627243496666885,0.49142220616340637,0.49532079696655273,0.0038985908031463623,2.7908169572419075,0.7933281716313026
query,15,0.45245688592726857,0.4733814922856128,0.020924606358344255,0.49142220616340637,0.5013095140457153,0.00988730788230896,4.6246630362274646,2.0119782456516138
