group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,15,0.4935882607556656,0.5151508626362468,0.021562601880581178,4.368540258143422,0.514786958694458,0.5190194249153137,0.004232466220855713,0.8221782136030786
random,1,random1_rep1,3,0.4935882607556656,0.5136362205820877,0.0200479598264221,4.061676790231884,0.514786958694458,0.528489351272583,0.013702392578125,2.66175984972024
random,1,random1_rep2,0,0.4935882607556656,0.5079022628055159,0.014314002049850283,2.8999883481702073,0.514786958694458,0.5180193185806274,0.0032323598861694336,0.6279024422776683
random,1,random1_rep3,8,0.4935882607556656,0.5083582235401277,0.014769962784462132,2.992365086205628,0.514786958694458,0.5182292461395264,0.0034422874450683594,0.6686819444296497
random,1,random1_rep4,7,0.4935882607556656,0.5126015254173764,0.01901326466171077,3.8520496076227904,0.514786958694458,0.5237182378768921,0.008931279182434082,1.7349466670804052
random,1,random1_rep5,7,0.4935882607556656,0.5126015254173764,0.01901326466171077,3.8520496076227904,0.514786958694458,0.5237182378768921,0.008931279182434082,1.7349466670804052
random,1,random1_rep6,4,0.4935882607556656,0.5038505395482924,0.010262278792626811,2.0791172741660504,0.514786958694458,0.5158860683441162,0.0010991096496582031,0.21350767168726173
random,1,random1_rep7,3,0.4935882607556656,0.5136362205820877,0.0200479598264221,4.061676790231884,0.514786958694458,0.528489351272583,0.013702392578125,2.66175984972024
random,1,random1_rep8,2,0.4935882607556656,0.511764408775345,0.018176148019679428,3.6824514407721956,0.514786958694458,0.5284662246704102,0.013679265975952148,2.6572673889493803
random,1,random1_rep9,13,0.4935882607556656,0.5102388987502655,0.016650637994599926,3.373386143565977,0.514786958694458,0.5276608467102051,0.01287388801574707,2.5008186004548962
random,1,random1_rep10,1,0.4935882607556656,0.5070140991213691,0.01342583836570349,2.7200481521073905,0.514786958694458,0.5174614787101746,0.0026745200157165527,0.519539193941384
random,1,random1_rep11,0,0.4935882607556656,0.5079022628055159,0.014314002049850283,2.8999883481702073,0.514786958694458,0.5180193185806274,0.0032323598861694336,0.6279024422776683
random,1,random1_rep12,2,0.4935882607556656,0.511764408775345,0.018176148019679428,3.6824514407721956,0.514786958694458,0.5284662246704102,0.013679265975952148,2.6572673889493803
random,1,random1_rep13,6,0.4935882607556656,0.4989187632091602,0.00533050245349459,1.079949195982454,0.514786958694458,0.5176793336868286,0.0028923749923706055,0.5618586375431704
random,1,random1_rep14,7,0.4935882607556656,0.5126015254173764,0.01901326466171077,3.8520496076227904,0.514786958694458,0.5237182378768921,0.008931279182434082,1.7349466670804052
random,1,random1_rep15,0,0.4935882607556656,0.5079022628055159,0.014314002049850283,2.8999883481702073,0.514786958694458,0.5180193185806274,0.0032323598861694336,0.6279024422776683
random,1,random1_rep16,6,0.4935882607556656,0.4989187632091602,0.00533050245349459,1.079949195982454,0.514786958694458,0.5176793336868286,0.0028923749923706055,0.5618586375431704
random_mean,1,random1_mean,,0.4935882607556656,0.5087257444226199,0.015137483666954277,3.0668240860873275,0.514786958694458,0.522107508033514,0.007320549339056015,1.4220541556883122
topk,2,top2,15 9,0.4935882607556656,0.5355906610400792,0.042002400284413655,8.509602764885356,0.514786958694458,0.5340779423713684,0.0192909836769104,3.747372257804261
random,2,random2_rep1,3 13,0.4935882607556656,0.5342892239743512,0.040700963218685604,8.245934203616171,0.514786958694458,0.543454647064209,0.028667688369750977,5.568845108752286
random,2,random2_rep2,9 14,0.4935882607556656,0.5195716151464344,0.025983354390768765,5.264175924887112,0.514786958694458,0.5328111052513123,0.018024146556854248,3.5012826670211235
random,2,random2_rep3,8 12,0.4935882607556656,0.5331732801594029,0.03958501940373732,8.01984620605322,0.514786958694458,0.5261310935020447,0.01134413480758667,2.20365621467108
random,2,random2_rep4,0 12,0.4935882607556656,0.5343006993826762,0.04071243862701063,8.248259098520975,0.514786958694458,0.5260800123214722,0.01129305362701416,2.1937334340509076
random,2,random2_rep5,5 11,0.4935882607556656,0.5350822309767677,0.04149397022110207,8.406595845204325,0.514786958694458,0.5446218252182007,0.029834866523742676,5.795575435595017
random,2,random2_rep6,5 13,0.4935882607556656,0.5334743246539361,0.039886063898270485,8.080837221940081,0.514786958694458,0.5431333184242249,0.028346359729766846,5.506425376753044
random,2,random2_rep7,2 8,0.4935882607556656,0.5269874167428557,0.033399155987190066,6.766602580064845,0.514786958694458,0.5322633981704712,0.017476439476013184,3.3948877648988756
random,2,random2_rep8,6 12,0.4935882607556656,0.5164283784515037,0.022840117695838102,4.6273624216408065,0.514786958694458,0.5251551270484924,0.010368168354034424,2.0140697387379336
random,2,random2_rep9,1 10,0.4935882607556656,0.5288933338145736,0.03530507305890801,7.152737588381302,0.514786958694458,0.5315163135528564,0.016729354858398438,3.249762756388673
random,2,random2_rep10,2 6,0.4935882607556656,0.517150568184346,0.02356230742868043,4.773676625251864,0.514786958694458,0.5314080715179443,0.016621112823486328,3.228736187419906
random,2,random2_rep11,3 5,0.4935882607556656,0.5356176048517227,0.04202934409605713,8.51506152753952,0.514786958694458,0.5432265996932983,0.028439640998840332,5.524545740429322
random,2,random2_rep12,9 11,0.4935882607556656,0.5403060030716946,0.04671774231602904,9.464921682802157,0.514786958694458,0.5482651591300964,0.03347820043563843,6.503311684612581
random,2,random2_rep13,8 12,0.4935882607556656,0.5331732801594029,0.03958501940373732,8.01984620605322,0.514786958694458,0.5261310935020447,0.01134413480758667,2.20365621467108
random,2,random2_rep14,1 11,0.4935882607556656,0.5256736812291465,0.0320854204734809,6.500442377693361,0.514786958694458,0.5320419669151306,0.017255008220672607,3.351873610868606
random,2,random2_rep15,8 14,0.4935882607556656,0.521003540166531,0.027415279410865467,5.5542810862020255,0.514786958694458,0.5282143354415894,0.013427376747131348,2.6083366177698593
random,2,random2_rep16,3 14,0.4935882607556656,0.519549796370656,0.025961535614990428,5.259755484306751,0.514786958694458,0.5318113565444946,0.01702439785003662,3.3070763667385616
random_mean,2,random2_mean,,0.4935882607556656,0.5284171860835001,0.03482892532783449,7.05627100500986,0.514786958694458,0.5341415889561176,0.019354630261659622,3.7597359324611785
topk,4,top4,15 9 3 10,0.4935882607556656,0.5897422731266837,0.09615401237101812,19.480611679015592,0.514786958694458,0.5673983097076416,0.052611351013183594,10.220024055506437
random,4,random4_rep1,1 4 8 12,0.4935882607556656,0.6345608567186646,0.140972595962999,28.56076758129845,0.514786958694458,0.5698385238647461,0.055051565170288086,10.69404813787501
random,4,random4_rep2,3 9 11 15,0.4935882607556656,0.5919397639209624,0.09835150316529678,19.92581894365239,0.514786958694458,0.570697009563446,0.05591005086898804,10.860813376232475
random,4,random4_rep3,0 2 3 10,0.4935882607556656,0.5807869434700828,0.08719868271441716,17.66627970059887,0.514786958694458,0.5654414892196655,0.05065453052520752,9.83990166605455
random,4,random4_rep4,1 3 9 13,0.4935882607556656,0.5815614479105687,0.08797318715490315,17.82319275993708,0.514786958694458,0.5674992799758911,0.052712321281433105,10.239638046603954
random,4,random4_rep5,3 4 6 7,0.4935882607556656,0.5713069416737446,0.07771868091807904,15.745650190118901,0.514786958694458,0.5567935705184937,0.042006611824035645,8.15999922192432
random,4,random4_rep6,2 5 11 13,0.4935882607556656,0.6013381569269898,0.10774989617132419,21.82991467551579,0.514786958694458,0.5843265056610107,0.06953954696655273,13.508412711718792
random,4,random4_rep7,4 6 10 11,0.4935882607556656,0.5606588099590625,0.06707054920339689,13.588359881313695,0.514786958694458,0.5565741062164307,0.041787147521972656,8.117367158629715
random,4,random4_rep8,2 9 10 15,0.4935882607556656,0.5928188632253136,0.09923060246964804,20.10392271439552,0.514786958694458,0.5695511698722839,0.05476421117782593,10.638228154946361
random,4,random4_rep9,2 6 7 15,0.4935882607556656,0.581203761865443,0.0876155011097774,17.75072627854667,0.514786958694458,0.5619486570358276,0.04716169834136963,9.161401147569
random,4,random4_rep10,8 10 11 14,0.4935882607556656,0.5660202285021062,0.07243196774644062,14.67457261555409,0.514786958694458,0.5593519806861877,0.044565021991729736,8.656983483954273
random,4,random4_rep11,5 7 10 12,0.4935882607556656,0.5818628094075183,0.08827454865185275,17.884247999883065,0.514786958694458,0.5596659183502197,0.04487895965576172,8.717967481067983
random,4,random4_rep12,0 1 3 13,0.4935882607556656,0.5779643875931757,0.08437612683751011,17.094435493326632,0.514786958694458,0.5583873987197876,0.04360044002532959,8.469608502885132
random,4,random4_rep13,1 4 6 10,0.4935882607556656,0.5770183684472123,0.08343010769154674,16.902773895760465,0.514786958694458,0.5601227283477783,0.04533576965332031,8.806705159799609
random,4,random4_rep14,6 9 11 14,0.4935882607556656,0.5613141688959152,0.06772590814024965,13.72113429856775,0.514786958694458,0.5635287165641785,0.04874175786972046,9.46833579338015
random,4,random4_rep15,3 7 10 15,0.4935882607556656,0.5917607088149558,0.09817244805929021,19.889542735273277,0.514786958694458,0.5631203651428223,0.04833340644836426,9.389011440954476
random,4,random4_rep16,7 10 12 14,0.4935882607556656,0.5722029352298235,0.07861467447415788,15.927176702663406,0.514786958694458,0.5565213561058044,0.041734397411346436,8.107120179809584
random_mean,4,random4_mean,,0.4935882607556656,0.5827699470350962,0.08918168627943063,18.068032279150383,0.514786958694458,0.5639605484902859,0.049173589795827866,9.552221353962837
