unit_type,unit_id,baseline_mse,mse_without_unit,delta_mse,baseline_mae,mae_without_unit,delta_mae,delta_mse_ratio_pct,delta_mae_ratio_pct
query,0,0.4935882607556656,0.5079022628055159,0.014314002049850283,0.514786958694458,0.5180193185806274,0.0032323598861694336,2.8999883481702073,0.6279024422776683
query,1,0.4935882607556656,0.5070140991213691,0.01342583836570349,0.514786958694458,0.5174614787101746,0.0026745200157165527,2.7200481521073905,0.519539193941384
query,2,0.4935882607556656,0.511764408775345,0.018176148019679428,0.514786958694458,0.5284662246704102,0.013679265975952148,3.6824514407721956,2.6572673889493803
query,3,0.4935882607556656,0.5136362205820877,0.0200479598264221,0.514786958694458,0.528489351272583,0.013702392578125,4.061676790231884,2.66175984972024
query,4,0.4935882607556656,0.5038505395482924,0.010262278792626811,0.514786958694458,0.5158860683441162,0.0010991096496582031,2.0791172741660504,0.21350767168726173
query,5,0.4935882607556656,0.5125260379242842,0.018937777168618608,0.514786958694458,0.5280680656433105,0.013281106948852539,3.8367559916489027,2.579922961244884
query,6,0.4935882607556656,0.4989187632091602,0.00533050245349459,0.514786958694458,0.5176793336868286,0.0028923749923706055,1.079949195982454,0.5618586375431704
query,7,0.4935882607556656,0.5126015254173764,0.01901326466171077,0.514786958694458,0.5237182378768921,0.008931279182434082,3.8520496076227904,1.7349466670804052
query,8,0.4935882607556656,0.5083582235401277,0.014769962784462132,0.514786958694458,0.5182292461395264,0.0034422874450683594,2.992365086205628,0.6686819444296497
query,9,0.4935882607556656,0.5139738316830531,0.02038557092738752,0.514786958694458,0.529702365398407,0.014915406703948975,4.1300761278596765,2.8973940485547014
query,10,0.4935882607556656,0.5134617462238044,0.019873485468138774,0.514786958694458,0.5278278589248657,0.013040900230407715,4.026328632231487,2.5332615774650757
query,11,0.4935882607556656,0.5119693350846993,0.018381074329033742,0.514786958694458,0.5291488170623779,0.014361858367919922,3.723969103497921,2.7898644527325973
query,12,0.4935882607556656,0.5049732669878226,0.011385006232157047,0.514786958694458,0.5160573124885559,0.0012703537940979004,2.306579620578297,0.24677272270447992
query,13,0.4935882607556656,0.5102388987502655,0.016650637994599926,0.514786958694458,0.5276608467102051,0.01287388801574707,3.373386143565977,2.5008186004548962
query,14,0.4935882607556656,0.4991851258532555,0.005596865097589887,0.514786958694458,0.5178827047348022,0.0030957460403442383,1.133913737944515,0.6013645039095987
query,15,0.4935882607556656,0.5151508626362468,0.021562601880581178,0.514786958694458,0.5190194249153137,0.004232466220855713,4.368540258143422,0.8221782136030786
