unit_type,unit_id,baseline_mse,mse_without_unit,delta_mse,baseline_mae,mae_without_unit,delta_mae,delta_mse_ratio_pct,delta_mae_ratio_pct
query,0,0.4695816785097122,0.4409022814407084,-0.028679397069003798,0.4903425872325897,0.47553786635398865,-0.014804720878601074,-6.107435273033258,-3.0192606687818824
query,1,0.4695816785097122,0.4940773620341171,0.0244956835244049,0.4903425872325897,0.5006481409072876,0.010305553674697876,5.216490473424265,2.101704796407889
query,2,0.4695816785097122,0.45653362007807363,-0.013048058431638587,0.4903425872325897,0.49026253819465637,-8.004903793334961e-05,-2.778655775721181,-0.016325124518580526
query,3,0.4695816785097122,0.4532765019297875,-0.016305176579924696,0.4903425872325897,0.4880397617816925,-0.002302825450897217,-3.4722769916559812,-0.4696360281275939
query,4,0.4695816785097122,0.4504872856115359,-0.019094392898176327,0.4903425872325897,0.48596706986427307,-0.00437551736831665,-4.066255940558678,-0.8923388427285762
query,5,0.4695816785097122,0.5058034749972627,0.03622179648755053,0.4903425872325897,0.5009090304374695,0.01056644320487976,7.71363069413309,2.1549103585953997
query,6,0.4695816785097122,0.4897087497537736,0.02012707124406138,0.4903425872325897,0.5058914422988892,0.015548855066299438,4.286170471543449,3.1710186859466023
query,7,0.4695816785097122,0.46952759820374274,-5.408030596948388e-05,0.4903425872325897,0.49631890654563904,0.005976319313049316,-0.011516698466838789,1.2188048659568094
query,8,0.4695816785097122,0.45603379268225014,-0.01354788582746208,0.4903425872325897,0.48522666096687317,-0.005115926265716553,-2.8850967675013055,-1.0433371277396017
query,9,0.4695816785097122,0.462468412762839,-0.00711326574687321,0.4903425872325897,0.49163690209388733,0.0012943148612976074,-1.514809046521624,0.2639613394795057
query,10,0.4695816785097122,0.49059117494224125,0.02100949643252903,0.4903425872325897,0.5065999627113342,0.016257375478744507,4.474087766627909,3.3155136637220055
query,11,0.4695816785097122,0.48761394282686793,0.01803226431715571,0.4903425872325897,0.5055309534072876,0.015188366174697876,3.8400698200968577,3.0975009248979237
query,12,0.4695816785097122,0.49244415212861387,0.022862473618901646,0.4903425872325897,0.5061216950416565,0.015779107809066772,4.868689445350408,3.217976210902132
query,13,0.4695816785097122,0.4853096626716178,0.015727984161905573,0.4903425872325897,0.49855443835258484,0.008211851119995117,3.3493606930791433,1.6747170924600716
query,14,0.4695816785097122,0.4884502795841072,0.018868601074394975,0.4903425872325897,0.5030186772346497,0.012676090002059937,4.01817233037654,2.5851497161610286
query,15,0.4695816785097122,0.4986008992440155,0.029019220734303297,0.4903425872325897,0.502202033996582,0.01185944676399231,6.179802590765496,2.4186042723568053
