unit_type,unit_id,baseline_mse,mse_without_unit,delta_mse,baseline_mae,mae_without_unit,delta_mae,delta_mse_ratio_pct,delta_mae_ratio_pct
query,0,0.46364169889592133,0.4788963346641003,0.015254635768178981,0.49578234553337097,0.5068238377571106,0.011041492223739624,3.290177696377425,2.2270845912960056
query,1,0.46364169889592133,0.4817490823067914,0.018107383410870093,0.49578234553337097,0.5075571537017822,0.011774808168411255,3.905469127127595,2.3749954540522653
query,2,0.46364169889592133,0.4840022827956748,0.02036058389975348,0.49578234553337097,0.5079786777496338,0.012196332216262817,4.3914479539348,2.4600174504281305
query,3,0.46364169889592133,0.4718339004947462,0.008192201598824889,0.49578234553337097,0.49990811944007874,0.004125773906707764,1.7669251101298982,0.832174429742791
query,4,0.46364169889592133,0.48215119017602115,0.01850949128009982,0.49578234553337097,0.507449209690094,0.011666864156723022,3.992197277375357,2.35322299429029
query,5,0.46364169889592133,0.45887899333417553,-0.004762705561745795,0.49578234553337097,0.4964764714241028,0.0006941258907318115,-1.027238398333738,0.14000617347216332
query,6,0.46364169889592133,0.47908465698464636,0.015442958088725034,0.49578234553337097,0.5067610144615173,0.010978668928146362,3.3307957686937217,2.2144130437592175
query,7,0.46364169889592133,0.47662717632209456,0.01298547742617323,0.49578234553337097,0.5011609792709351,0.005378633737564087,2.8007570192879094,1.0848780288409952
query,8,0.46364169889592133,0.5034945698381846,0.03985287094226331,0.49578234553337097,0.5100448727607727,0.014262527227401733,8.595618348644157,2.8767719052314917
query,9,0.46364169889592133,0.48120639137665616,0.017564692480734834,0.49578234553337097,0.5075846314430237,0.01180228590965271,3.788419489136108,2.3805377533069705
query,10,0.46364169889592133,0.4753591347373936,0.011717435841472279,0.49578234553337097,0.5050418376922607,0.00925949215888977,2.527261001194506,1.8676526589361009
query,11,0.46364169889592133,0.45564264041859887,-0.007999058477322463,0.49578234553337097,0.49306780099868774,-0.0027145445346832275,-1.7252672691802249,-0.5475274702980549
query,12,0.46364169889592133,0.4541426274331833,-0.00949907146273804,0.49578234553337097,0.4925921559333801,-0.0031901895999908447,-2.048795758741795,-0.6434657524076992
query,13,0.46364169889592133,0.45380676166083467,-0.00983493723508666,0.49578234553337097,0.49193304777145386,-0.0038492977619171143,-2.1212365623080887,-0.7764088004739207
query,14,0.46364169889592133,0.4566849637905665,-0.006956735105354828,0.49578234553337097,0.4949352443218231,-0.0008471012115478516,-1.5004550112556811,-0.1708615119476523
query,15,0.46364169889592133,0.4888997275821056,0.025258028686184264,0.49578234553337097,0.5073211193084717,0.011538773775100708,5.447747419253204,2.327386983230938
