group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,3,0.52622074019551,0.5623018166897754,0.036081076494265396,6.856642799913202,0.5253527164459229,0.5443709492683411,0.019018232822418213,3.6200884143283676
random,1,random1_rep1,3,0.52622074019551,0.5623018166897754,0.036081076494265396,6.856642799913202,0.5253527164459229,0.5443709492683411,0.019018232822418213,3.6200884143283676
random,1,random1_rep2,0,0.52622074019551,0.5352641645535036,0.009043424357993546,1.7185609891836622,0.5253527164459229,0.5302957892417908,0.00494307279586792,0.9409055366285014
random,1,random1_rep3,8,0.52622074019551,0.526277182593632,5.644239812196972e-05,0.01072599268911357,0.5253527164459229,0.525506854057312,0.00015413761138916016,0.029339833327963062
random,1,random1_rep4,7,0.52622074019551,0.5506836651516842,0.024462924956174192,4.648795284481818,0.5253527164459229,0.5457128882408142,0.020360171794891357,3.875524225444284
random,1,random1_rep5,7,0.52622074019551,0.5506836651516842,0.024462924956174192,4.648795284481818,0.5253527164459229,0.5457128882408142,0.020360171794891357,3.875524225444284
random,1,random1_rep6,4,0.52622074019551,0.5390200037122048,0.012799263516694803,2.432299325932956,0.5253527164459229,0.5323159694671631,0.006963253021240234,1.3254434217733786
random,1,random1_rep7,3,0.52622074019551,0.5623018166897754,0.036081076494265396,6.856642799913202,0.5253527164459229,0.5443709492683411,0.019018232822418213,3.6200884143283676
random,1,random1_rep8,2,0.52622074019551,0.5331694618314848,0.006948721635974819,1.3204955839241757,0.5253527164459229,0.529524028301239,0.004171311855316162,0.7940021484109973
random,1,random1_rep9,13,0.52622074019551,0.5504930401371478,0.02427229994163782,4.612569989662472,0.5253527164459229,0.5466848015785217,0.021332085132598877,4.060526283543961
random,1,random1_rep10,1,0.52622074019551,0.5369591060638703,0.0107383658683603,2.040658044829364,0.5253527164459229,0.5313496589660645,0.0059969425201416016,1.141507854134965
random,1,random1_rep11,0,0.52622074019551,0.5352641645535036,0.009043424357993546,1.7185609891836622,0.5253527164459229,0.5302957892417908,0.00494307279586792,0.9409055366285014
random,1,random1_rep12,2,0.52622074019551,0.5331694618314848,0.006948721635974819,1.3204955839241757,0.5253527164459229,0.529524028301239,0.004171311855316162,0.7940021484109973
random,1,random1_rep13,6,0.52622074019551,0.5464073319770998,0.02018659178158977,3.8361452218872483,0.5253527164459229,0.5299582481384277,0.004605531692504883,0.876655159158952
random,1,random1_rep14,7,0.52622074019551,0.5506836651516842,0.024462924956174192,4.648795284481818,0.5253527164459229,0.5457128882408142,0.020360171794891357,3.875524225444284
random,1,random1_rep15,0,0.52622074019551,0.5352641645535036,0.009043424357993546,1.7185609891836622,0.5253527164459229,0.5302957892417908,0.00494307279586792,0.9409055366285014
random,1,random1_rep16,6,0.52622074019551,0.5464073319770998,0.02018659178158977,3.8361452218872483,0.5253527164459229,0.5299582481384277,0.004605531692504883,0.876655159158952
random_mean,1,random1_mean,,0.52622074019551,0.5433968776636962,0.017176137468186137,3.2640555865974763,0.5253527164459229,0.5357243604958057,0.010371644049882889,1.9742248826747035
topk,2,top2,3 15,0.52622074019551,0.6164554442874829,0.09023470409197287,17.147690541130594,0.5253527164459229,0.5679529905319214,0.042600274085998535,8.108890037572232
random,2,random2_rep1,3 13,0.52622074019551,0.6105437111152512,0.08432297091974117,16.02425835371144,0.5253527164459229,0.5773262977600098,0.051973581314086914,9.89308319669397
random,2,random2_rep2,9 14,0.52622074019551,0.5449176533599374,0.018696913164427342,3.553055160364976,0.5253527164459229,0.5334832072257996,0.008130490779876709,1.5476251526556293
random,2,random2_rep3,8 12,0.52622074019551,0.526140727464101,-8.001273140900711e-05,-0.015205164923617318,0.5253527164459229,0.5264116525650024,0.0010589361190795898,0.20156669717888312
random,2,random2_rep4,0 12,0.52622074019551,0.5374140480649389,0.011193307869428848,2.1271126381811043,0.5253527164459229,0.533846378326416,0.008493661880493164,1.616754156703301
random,2,random2_rep5,5 11,0.52622074019551,0.5375953034495646,0.011374563254054615,2.161557381761227,0.5253527164459229,0.5323213338851929,0.0069686174392700195,1.3264645296618227
random,2,random2_rep6,5 13,0.52622074019551,0.571369250982518,0.04514851078700799,8.579766500695827,0.5253527164459229,0.5539532899856567,0.028600573539733887,5.444070744169815
random,2,random2_rep7,2 8,0.52622074019551,0.5433308149388977,0.01711007474338766,3.2515014016799584,0.5253527164459229,0.5381413698196411,0.012788653373718262,2.4342985147645395
random,2,random2_rep8,6 12,0.52622074019551,0.5465028423635293,0.02028210216801929,3.854295473128588,0.5253527164459229,0.5309348702430725,0.005582153797149658,1.0625535230718193
