unit_type,unit_id,baseline_mse,mse_without_unit,delta_mse,baseline_mae,mae_without_unit,delta_mae,delta_mse_ratio_pct,delta_mae_ratio_pct
query,0,0.52622074019551,0.5352641645535036,0.009043424357993546,0.5253527164459229,0.5302957892417908,0.00494307279586792,1.7185609891836622,0.9409055366285014
query,1,0.52622074019551,0.5369591060638703,0.0107383658683603,0.5253527164459229,0.5313496589660645,0.0059969425201416016,2.040658044829364,1.141507854134965
query,2,0.52622074019551,0.5331694618314848,0.006948721635974819,0.5253527164459229,0.529524028301239,0.004171311855316162,1.3204955839241757,0.7940021484109973
query,3,0.52622074019551,0.5623018166897754,0.036081076494265396,0.5253527164459229,0.5443709492683411,0.019018232822418213,6.856642799913202,3.6200884143283676
query,4,0.52622074019551,0.5390200037122048,0.012799263516694803,0.5253527164459229,0.5323159694671631,0.006963253021240234,2.432299325932956,1.3254434217733786
query,5,0.52622074019551,0.5252106347342836,-0.0010101054612263738,0.5253527164459229,0.5257955193519592,0.00044280290603637695,-0.19195470342941692,0.08428678336946542
query,6,0.52622074019551,0.5464073319770998,0.02018659178158977,0.5253527164459229,0.5299582481384277,0.004605531692504883,3.8361452218872483,0.876655159158952
query,7,0.52622074019551,0.5506836651516842,0.024462924956174192,0.5253527164459229,0.5457128882408142,0.020360171794891357,4.648795284481818,3.875524225444284
query,8,0.52622074019551,0.526277182593632,5.644239812196972e-05,0.5253527164459229,0.525506854057312,0.00015413761138916016,0.01072599268911357,0.029339833327963062
query,9,0.52622074019551,0.5298872198436332,0.0036664796481231665,0.5253527164459229,0.5277308225631714,0.002378106117248535,0.6967569630115561,0.4526684725905144
query,10,0.52622074019551,0.5238772293092472,-0.002343510886262834,0.5253527164459229,0.5247083306312561,-0.000644385814666748,-0.44534749531007367,-0.1226577486885571
query,11,0.52622074019551,0.5377480041141047,0.01152726391859471,0.5253527164459229,0.5309574604034424,0.005604743957519531,2.1905757485559985,1.0668535218464898
query,12,0.52622074019551,0.5260833419050686,-0.00013739829044145946,0.5253527164459229,0.5262572765350342,0.0009045600891113281,-0.026110390554049814,0.17218148127810032
query,13,0.52622074019551,0.5504930401371478,0.02427229994163782,0.5253527164459229,0.5466848015785217,0.021332085132598877,4.612569989662472,4.060526283543961
query,14,0.52622074019551,0.5411367238290591,0.014915983633549068,0.5253527164459229,0.531019389629364,0.005666673183441162,2.834548791825887,1.0786416451364178
query,15,0.52622074019551,0.5593296758331547,0.03310893563764472,0.5253527164459229,0.5373931527137756,0.012040436267852783,6.291834036291226,2.2918766556129846
