mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_metadata_query_gate_stats,weather,192,0.503509,0.552478
forecasting_electricity_laya_metadata_query_gate_stats,weather,336,0.549031,0.577773
forecasting_electricity_laya_metadata_query_gate_stats,weather,720,0.577340,0.591574
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,96,0.563846,0.537739
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,192,0.610106,0.561369
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,336,0.637157,0.571574
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,720,0.665892,0.589628
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,96,0.758524,0.657663
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,192,0.771334,0.662286
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,336,0.792930,0.670714
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,720,0.816435,0.682210
forecasting_electricity_laya_metadata_query_gate_text,weather,96,0.502709,0.558395
forecasting_electricity_laya_metadata_query_gate_text,weather,192,0.546213,0.582798
forecasting_electricity_laya_metadata_query_gate_text,weather,336,0.590850,0.605088
forecasting_electricity_laya_metadata_query_gate_text,weather,720,0.600669,0.607998
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,96,0.542113,0.534993
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,192,0.583637,0.555413
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,336,0.619808,0.575237
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,720,0.638124,0.586050
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,96,0.661020,0.610463
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,192,0.653879,0.606869
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,336,0.741496,0.647833
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,720,0.789752,0.668638
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,96,0.475946,0.539882
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,192,0.547327,0.584234
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,336,0.559579,0.587179
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,720,0.590593,0.602824
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,96,0.541433,0.527815
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,192,0.587340,0.551007
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,336,0.616638,0.564454
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,720,0.648759,0.583980
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,96,0.782869,0.660729
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,192,0.790329,0.663221
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,336,0.821350,0.673652
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,720,0.844208,0.683121
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,96,0.483181,0.546629
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,192,0.528410,0.572844
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,336,0.571974,0.594466
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,720,0.587901,0.601677
forecasting_electricity_laya_mixer_concat_stats,ETTm1,96,0.909055,0.686595
forecasting_electricity_laya_mixer_concat_stats,ETTm1,192,0.922809,0.692108
forecasting_electricity_laya_mixer_concat_stats,ETTm1,336,0.936128,0.699249
forecasting_electricity_laya_mixer_concat_stats,ETTm1,720,0.959697,0.714085
forecasting_electricity_laya_mixer_concat_stats,ETTm2,96,1.136944,0.795934
forecasting_electricity_laya_mixer_concat_stats,ETTm2,192,1.161047,0.808626
forecasting_electricity_laya_mixer_concat_stats,ETTm2,336,1.180346,0.820365
forecasting_electricity_laya_mixer_concat_stats,ETTm2,720,1.203555,0.835764
forecasting_electricity_laya_mixer_concat_stats,weather,96,0.602060,0.601670
forecasting_electricity_laya_mixer_concat_stats,weather,192,0.618516,0.612153
forecasting_electricity_laya_mixer_concat_stats,weather,336,0.642269,0.624241
forecasting_electricity_laya_mixer_concat_stats,weather,720,0.676972,0.642810
forecasting_electricity_laya_mixer_concat_text,ETTm1,96,0.452320,0.491422
forecasting_electricity_laya_mixer_concat_text,ETTm1,192,0.506001,0.520605
forecasting_electricity_laya_mixer_concat_text,ETTm1,336,0.542319,0.536410
forecasting_electricity_laya_mixer_concat_text,ETTm1,720,0.574648,0.556610
forecasting_electricity_laya_mixer_concat_text,ETTm2,96,0.572164,0.545010
forecasting_electricity_laya_mixer_concat_text,ETTm2,192,0.573889,0.548762
forecasting_electricity_laya_mixer_concat_text,ETTm2,336,0.616443,0.573471
forecasting_electricity_laya_mixer_concat_text,ETTm2,720,0.654831,0.598895
forecasting_electricity_laya_mixer_concat_text,weather,96,0.456421,0.510374
forecasting_electricity_laya_mixer_concat_text,weather,192,0.485741,0.525770
forecasting_electricity_laya_mixer_concat_text,weather,336,0.513041,0.541871
forecasting_electricity_laya_mixer_concat_text,weather,720,0.551203,0.564076
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,96,0.553861,0.545807
