mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_metadata_query_bias_stats,weather,192,0.3502,0.4087
forecasting_electricity_laya_metadata_query_bias_stats,weather,336,0.3972,0.4395
forecasting_electricity_laya_metadata_query_bias_stats,weather,720,0.4366,0.4600
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,96,0.5732,0.5620
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,192,0.6324,0.5938
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,336,0.7284,0.6570
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,720,0.9767,0.7670
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,96,0.4602,0.4917
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,192,0.6237,0.5659
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,336,0.7585,0.6244
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,720,1.0166,0.7285
forecasting_electricity_laya_metadata_query_bias_text,weather,96,0.3609,0.4135
forecasting_electricity_laya_metadata_query_bias_text,weather,192,0.4622,0.4764
forecasting_electricity_laya_metadata_query_bias_text,weather,336,0.5130,0.5024
forecasting_electricity_laya_metadata_query_bias_text,weather,720,0.6349,0.5577
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,96,0.5624,0.5396
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,192,0.6062,0.5604
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,336,0.6403,0.5776
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,720,0.6663,0.5921
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,96,0.7827,0.6582
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,192,0.8115,0.6715
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,336,0.8159,0.6681
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,720,0.8397,0.6724
forecasting_electricity_laya_metadata_query_gate_stats,weather,96,0.4683,0.5333
forecasting_electricity_laya_metadata_query_gate_stats,weather,192,0.5035,0.5525
forecasting_electricity_laya_metadata_query_gate_stats,weather,336,0.5490,0.5778
forecasting_electricity_laya_metadata_query_gate_stats,weather,720,0.5773,0.5916
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,96,0.5638,0.5377
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,192,0.6101,0.5614
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,336,0.6372,0.5716
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,720,0.6659,0.5896
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,96,0.7585,0.6577
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,192,0.7713,0.6623
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,336,0.7929,0.6707
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,720,0.8164,0.6822
forecasting_electricity_laya_metadata_query_gate_text,weather,96,0.5027,0.5584
forecasting_electricity_laya_metadata_query_gate_text,weather,192,0.5462,0.5828
forecasting_electricity_laya_metadata_query_gate_text,weather,336,0.5908,0.6051
forecasting_electricity_laya_metadata_query_gate_text,weather,720,0.6007,0.6080
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,96,0.5421,0.5350
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,192,0.5836,0.5554
