mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_metadata_query_bias_stats,ETTm2,96,0.693,0.555
forecasting_electricity_laya_metadata_query_bias_stats,ETTm2,192,0.731,0.565
forecasting_electricity_laya_metadata_query_bias_stats,ETTm2,336,0.863,0.632
forecasting_electricity_laya_metadata_query_bias_stats,ETTm2,720,0.887,0.641
forecasting_electricity_laya_metadata_query_bias_stats,weather,96,0.307,0.373
forecasting_electricity_laya_metadata_query_bias_stats,weather,192,0.350,0.409
forecasting_electricity_laya_metadata_query_bias_stats,weather,336,0.397,0.440
forecasting_electricity_laya_metadata_query_bias_stats,weather,720,0.437,0.460
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,96,0.573,0.562
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,192,0.632,0.594
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,336,0.728,0.657
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,720,0.977,0.767
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,96,0.460,0.492
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,192,0.624,0.566
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,336,0.758,0.624
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,720,1.017,0.729
forecasting_electricity_laya_metadata_query_bias_text,weather,96,0.361,0.413
forecasting_electricity_laya_metadata_query_bias_text,weather,192,0.462,0.476
forecasting_electricity_laya_metadata_query_bias_text,weather,336,0.513,0.502
forecasting_electricity_laya_metadata_query_bias_text,weather,720,0.635,0.558
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,96,0.385,0.431
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,192,0.436,0.459
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,336,0.478,0.480
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,720,0.528,0.516
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,96,0.275,0.367
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,192,0.298,0.378
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,336,0.324,0.388
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,720,0.423,0.465
forecasting_electricity_laya_metadata_query_gate_stats,weather,96,0.417,0.496
forecasting_electricity_laya_metadata_query_gate_stats,weather,192,0.467,0.530
forecasting_electricity_laya_metadata_query_gate_stats,weather,336,0.497,0.541
forecasting_electricity_laya_metadata_query_gate_stats,weather,720,0.551,0.570
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,96,0.564,0.538
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,192,0.610,0.561
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,336,0.637,0.572
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,720,0.666,0.590
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,96,0.759,0.658
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,192,0.771,0.662
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,336,0.793,0.671
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,720,0.816,0.682
forecasting_electricity_laya_metadata_query_gate_text,weather,96,0.503,0.558
forecasting_electricity_laya_metadata_query_gate_text,weather,192,0.546,0.583
forecasting_electricity_laya_metadata_query_gate_text,weather,336,0.591,0.605
forecasting_electricity_laya_metadata_query_gate_text,weather,720,0.601,0.608
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,96,0.482,0.504
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,192,0.531,0.528
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,336,0.575,0.550
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,720,0.595,0.562
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,96,0.550,0.558
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,192,0.563,0.559
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,336,0.609,0.586
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,720,0.685,0.621
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,96,0.475,0.535
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,192,0.516,0.562
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,336,0.537,0.568
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,720,0.590,0.601
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,96,0.485,0.512
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,192,0.533,0.534
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,336,0.570,0.552
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,720,0.598,0.569
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,96,0.640,0.602
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,192,0.655,0.608
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,336,0.707,0.632
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,720,0.747,0.648
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,96,0.506,0.557
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,192,0.534,0.570
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,336,0.573,0.591
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,720,0.610,0.611
forecasting_electricity_laya_mixer_concat_stats,ETTm1,96,0.909,0.687
forecasting_electricity_laya_mixer_concat_stats,ETTm1,192,0.923,0.692
forecasting_electricity_laya_mixer_concat_stats,ETTm1,336,0.936,0.699
forecasting_electricity_laya_mixer_concat_stats,ETTm1,720,0.960,0.714
forecasting_electricity_laya_mixer_concat_stats,ETTm2,96,1.137,0.796
forecasting_electricity_laya_mixer_concat_stats,ETTm2,192,1.161,0.809
forecasting_electricity_laya_mixer_concat_stats,ETTm2,336,1.180,0.820
forecasting_electricity_laya_mixer_concat_stats,ETTm2,720,1.204,0.836
forecasting_electricity_laya_mixer_concat_stats,weather,96,0.602,0.602
forecasting_electricity_laya_mixer_concat_stats,weather,192,0.619,0.612
forecasting_electricity_laya_mixer_concat_stats,weather,336,0.642,0.624
forecasting_electricity_laya_mixer_concat_stats,weather,720,0.677,0.643
forecasting_electricity_laya_mixer_concat_text,ETTm1,96,0.452,0.491
forecasting_electricity_laya_mixer_concat_text,ETTm1,192,0.506,0.521
forecasting_electricity_laya_mixer_concat_text,ETTm1,336,0.542,0.536
forecasting_electricity_laya_mixer_concat_text,ETTm1,720,0.575,0.557
forecasting_electricity_laya_mixer_concat_text,ETTm2,96,0.572,0.545
forecasting_electricity_laya_mixer_concat_text,ETTm2,192,0.574,0.549
forecasting_electricity_laya_mixer_concat_text,ETTm2,336,0.616,0.573
forecasting_electricity_laya_mixer_concat_text,ETTm2,720,0.655,0.599
forecasting_electricity_laya_mixer_concat_text,weather,96,0.456,0.510
forecasting_electricity_laya_mixer_concat_text,weather,192,0.486,0.526
forecasting_electricity_laya_mixer_concat_text,weather,336,0.513,0.542
forecasting_electricity_laya_mixer_concat_text,weather,720,0.551,0.564
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,96,0.554,0.546
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,192,0.591,0.563
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,336,0.628,0.580
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,720,0.647,0.593
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,96,0.672,0.615
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,192,0.686,0.623
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,336,0.735,0.641
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,720,0.788,0.670
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,96,0.458,0.519
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,192,0.488,0.535
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,336,0.510,0.547
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,720,0.545,0.567
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,96,0.588,0.521
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,192,0.624,0.538
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,336,0.654,0.555
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,720,0.691,0.581
