mode,dataset,accuracy,f1_macro
classification_electricity_laya_metadata_query_gate_stats,FordB,0.5889,0.5545
classification_electricity_laya_metadata_query_gate_text,EthanolConcentration,0.2852,0.2655
classification_electricity_laya_metadata_query_gate_text,FaceDetection,0.5199,0.5199
classification_electricity_laya_metadata_query_gate_text,Handwriting,0.0376,0.0073
classification_electricity_laya_metadata_query_gate_text,Heartbeat,0.7561,0.6117
classification_electricity_laya_metadata_query_gate_text,JapaneseVowels,0.3946,0.4052
classification_electricity_laya_metadata_query_gate_text,PEMS-SF,0.3931,0.3784
classification_electricity_laya_metadata_query_gate_text,SelfRegulationSCP1,0.7679,0.7581
classification_electricity_laya_metadata_query_gate_text,SelfRegulationSCP2,0.5722,0.5591
classification_electricity_laya_metadata_query_gate_text,SpokenArabicDigits,0.2715,0.2325
classification_electricity_laya_metadata_query_gate_text,UWaveGestureLibrary,0.4094,0.4089
classification_electricity_laya_metadata_query_gate_text,ECG200,0.7700,0.7335
classification_electricity_laya_metadata_query_gate_text,ECG5000,0.8927,0.3795
classification_electricity_laya_metadata_query_gate_text,FordA,0.7795,0.7795
classification_electricity_laya_metadata_query_gate_text,FordB,0.6037,0.5838
classification_electricity_laya_metadata_query_gate_text_stats_avg,EthanolConcentration,0.3042,0.2677
classification_electricity_laya_metadata_query_gate_text_stats_avg,FaceDetection,0.5221,0.5171
classification_electricity_laya_metadata_query_gate_text_stats_avg,Handwriting,0.0871,0.0480
classification_electricity_laya_metadata_query_gate_text_stats_avg,Heartbeat,0.7561,0.6496
classification_electricity_laya_metadata_query_gate_text_stats_avg,JapaneseVowels,0.4432,0.4436
classification_electricity_laya_metadata_query_gate_text_stats_avg,PEMS-SF,0.3121,0.2992
classification_electricity_laya_metadata_query_gate_text_stats_avg,SelfRegulationSCP1,0.7782,0.7697
classification_electricity_laya_metadata_query_gate_text_stats_avg,SelfRegulationSCP2,0.4889,0.4889
classification_electricity_laya_metadata_query_gate_text_stats_avg,SpokenArabicDigits,0.2965,0.2412
classification_electricity_laya_metadata_query_gate_text_stats_avg,UWaveGestureLibrary,0.3969,0.3962
classification_electricity_laya_metadata_query_gate_text_stats_avg,ECG200,0.8000,0.7662
classification_electricity_laya_metadata_query_gate_text_stats_avg,ECG5000,0.8838,0.3622
classification_electricity_laya_metadata_query_gate_text_stats_avg,FordA,0.7303,0.7297
classification_electricity_laya_metadata_query_gate_text_stats_avg,FordB,0.6000,0.5884
classification_electricity_laya_metadata_query_gate_text_stats_joint,EthanolConcentration,0.2852,0.2733
classification_electricity_laya_metadata_query_gate_text_stats_joint,FaceDetection,0.5221,0.5048
classification_electricity_laya_metadata_query_gate_text_stats_joint,Handwriting,0.0788,0.0276
classification_electricity_laya_metadata_query_gate_text_stats_joint,Heartbeat,0.7756,0.6428
classification_electricity_laya_metadata_query_gate_text_stats_joint,JapaneseVowels,0.4054,0.4028
classification_electricity_laya_metadata_query_gate_text_stats_joint,PEMS-SF,0.3121,0.3067
classification_electricity_laya_metadata_query_gate_text_stats_joint,SelfRegulationSCP1,0.7816,0.7736
classification_electricity_laya_metadata_query_gate_text_stats_joint,SelfRegulationSCP2,0.5278,0.4932
classification_electricity_laya_metadata_query_gate_text_stats_joint,SpokenArabicDigits,0.2660,0.2356
classification_electricity_laya_metadata_query_gate_text_stats_joint,UWaveGestureLibrary,0.4375,0.4320
classification_electricity_laya_metadata_query_gate_text_stats_joint,ECG200,0.8000,0.7702
