mode,dataset,accuracy,f1_macro
classification_electricity_laya_metadata_query_gate_stats,FordB,0.588889,0.554515
classification_electricity_laya_metadata_query_gate_text,EthanolConcentration,0.285171,0.265479
classification_electricity_laya_metadata_query_gate_text,FaceDetection,0.519864,0.519858
classification_electricity_laya_metadata_query_gate_text,Handwriting,0.037647,0.007276
classification_electricity_laya_metadata_query_gate_text,Heartbeat,0.756098,0.611742
classification_electricity_laya_metadata_query_gate_text,JapaneseVowels,0.394595,0.405216
classification_electricity_laya_metadata_query_gate_text,PEMS-SF,0.393064,0.378415
classification_electricity_laya_metadata_query_gate_text,SelfRegulationSCP1,0.767918,0.758110
classification_electricity_laya_metadata_query_gate_text,SelfRegulationSCP2,0.572222,0.559146
classification_electricity_laya_metadata_query_gate_text,SpokenArabicDigits,0.271487,0.232498
classification_electricity_laya_metadata_query_gate_text,UWaveGestureLibrary,0.409375,0.408931
classification_electricity_laya_metadata_query_gate_text,ECG200,0.770000,0.733519
classification_electricity_laya_metadata_query_gate_text,ECG5000,0.892667,0.379484
classification_electricity_laya_metadata_query_gate_text,FordA,0.779545,0.779479
classification_electricity_laya_metadata_query_gate_text,FordB,0.603704,0.583832
classification_electricity_laya_metadata_query_gate_text_stats_avg,EthanolConcentration,0.304183,0.267660
classification_electricity_laya_metadata_query_gate_text_stats_avg,FaceDetection,0.522134,0.517094
classification_electricity_laya_metadata_query_gate_text_stats_avg,Handwriting,0.087059,0.048013
classification_electricity_laya_metadata_query_gate_text_stats_avg,Heartbeat,0.756098,0.649645
classification_electricity_laya_metadata_query_gate_text_stats_avg,JapaneseVowels,0.443243,0.443616
classification_electricity_laya_metadata_query_gate_text_stats_avg,PEMS-SF,0.312139,0.299155
classification_electricity_laya_metadata_query_gate_text_stats_avg,SelfRegulationSCP1,0.778157,0.769746
classification_electricity_laya_metadata_query_gate_text_stats_avg,SelfRegulationSCP2,0.488889,0.488889
classification_electricity_laya_metadata_query_gate_text_stats_avg,SpokenArabicDigits,0.296498,0.241241
classification_electricity_laya_metadata_query_gate_text_stats_avg,UWaveGestureLibrary,0.396875,0.396157
classification_electricity_laya_metadata_query_gate_text_stats_avg,ECG200,0.800000,0.766246
classification_electricity_laya_metadata_query_gate_text_stats_avg,ECG5000,0.883778,0.362227
classification_electricity_laya_metadata_query_gate_text_stats_avg,FordA,0.730303,0.729668
classification_electricity_laya_metadata_query_gate_text_stats_avg,FordB,0.600000,0.588397
classification_electricity_laya_metadata_query_gate_text_stats_joint,EthanolConcentration,0.285171,0.273314
classification_electricity_laya_metadata_query_gate_text_stats_joint,FaceDetection,0.522134,0.504763
classification_electricity_laya_metadata_query_gate_text_stats_joint,Handwriting,0.078824,0.027621
classification_electricity_laya_metadata_query_gate_text_stats_joint,Heartbeat,0.775610,0.642803
