epoch,train_mse,val_mse,val_mae,lr
1,0.3697305888661609,0.34657087908330747,0.4141305387020111,0.0001
2,0.32585354273285855,0.34115149135815354,0.4088774621486664,0.0001
3,0.3216608695875559,0.35408754691516003,0.4184722900390625,0.0001
4,0.31850769688720215,0.3364276367887063,0.40606096386909485,0.0001
5,0.31592809769433755,0.3306972194660894,0.4002099633216858,0.0001
6,0.3145093378524538,0.331486695908509,0.4009245038032532,0.0001
7,0.3126109369096066,0.3258440449971525,0.3964824974536896,0.0001
8,0.31145376999520963,0.33451604617729475,0.4038912355899811,0.0001
9,0.3106357995226749,0.32008048637359304,0.3915477693080902,0.0001
10,0.3097528575019395,0.3273771241754638,0.3976694643497467,0.0001
11,0.30970870385786037,0.3323843249788736,0.40130776166915894,0.0001
12,0.3089302401789062,0.3220769594709537,0.3933528661727905,0.0001
13,0.3090647333603033,0.3225830116461937,0.3940069079399109,0.0001
14,0.3078264272813933,0.31920090204160706,0.39044907689094543,0.0001
15,0.30716571701154244,0.317970921446765,0.3902507722377777,0.0001
16,0.3075362528265369,0.31718171529867634,0.3881206214427948,0.0001
17,0.30761353190276625,0.3172608090878634,0.38973161578178406,0.0001
18,0.30700293218264035,0.3229866001505499,0.3942517936229706,0.0001
19,0.3069539620099098,0.3160945223536833,0.3885759115219116,0.0001
20,0.3069609652930986,0.34359976351605276,0.40989068150520325,0.0001
